region,month,season,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
west_midlands,11,autumn,261.6828431,230.3298797,211.7676828,202.3113623,199.4366379,205.2064937,207.4992442,227.8313283,266.7972539,352.0101405,556.1858349,821.0286893,1312.101279,1792.00803,2044.626378,2027.210745,1842.41094,1572.98945,1386.443818,1240.134755,1095.109592,1025.555552,982.5669522,972.13951,1052.126945,1058.668136,1056.663003,1056.046608,1073.836556,1152.053914,1344.071078,1535.180702,1881.392234,2124.838005,2178.329817,2148.249858,2061.422435,1963.875575,1868.885463,1742.200038,1631.272501,1510.120268,1359.396548,1189.127417,899.6757574,654.1626252,433.143415,330.6187567
west_midlands,12,winter,360.7437999,331.5293625,302.5282556,291.4066174,283.1208903,286.1356688,287.7098154,318.503904,377.7938792,470.3280881,713.8654082,1054.538966,1556.986598,2106.323541,2439.684895,2411.024591,2298.574595,2091.906872,1925.822,1781.788315,1635.434559,1556.957848,1517.084483,1540.352918,1586.866096,1613.850211,1592.615221,1566.557693,1578.929458,1674.390253,1811.686032,2005.286714,2340.476292,2524.579861,2542.632842,2498.161337,2438.332007,2350.564394,2256.840907,2137.638885,1999.471385,1880.614982,1709.290633,1493.973943,1141.602447,837.0453526,598.2025608,461.8970593
east_midlands,1,winter,365.5067524,334.909141,332.250957,333.336855,336.7937835,342.8642168,362.3551064,404.6393202,480.4959731,554.6044404,825.4099219,1241.761384,1865.19262,2472.915358,2694.731588,2711.213934,2543.589435,2299.240576,2085.696616,1913.577553,1802.376298,1732.732384,1695.682131,1688.811208,1784.0275,1772.921115,1706.230746,1702.906416,1741.342735,1851.141693,2045.357066,2285.205267,2593.016843,2716.085653,2748.67322,2663.288838,2595.511866,2465.668504,2380.671719,2240.182759,2093.667738,1911.938141,1674.051263,1413.706507,1036.379421,718.3617516,528.5568213,425.9167049
east_midlands,2,winter,327.6389905,310.2122259,306.018415,303.4491319,304.1137395,322.9189624,342.0584653,389.0639986,461.5207425,560.9904851,818.2462453,1250.562608,1961.492813,2515.683345,2665.025471,2599.37272,2339.201394,2042.535381,1824.326785,1642.191205,1475.421671,1393.403314,1324.464619,1349.47472,1409.847967,1370.58966,1313.333577,1317.870685,1326.646837,1432.084375,1659.485611,1909.121703,2275.711362,2517.769769,2576.314811,2549.23916,2444.09471,2322.895424,2231.136458,2088.319027,1955.209474,1769.556987,1530.067687,1287.775624,943.2724478,647.2669731,468.6149252,382.0839067
east_midlands,3,spring,262.2456227,249.1387986,240.4610401,238.5139059,236.7987876,244.9496058,257.5879491,294.6856414,356.1286,436.7673075,719.6998725,1091.985483,1761.713661,2282.060671,2445.920675,2350.991987,2067.998933,1735.798449,1465.971252,1285.221739,1114.91607,1029.745662,970.697505,1000.978901,1058.372714,1004.352109,938.2878737,919.869943,949.0011447,995.7566668,1190.957593,1434.255405,1762.434191,2014.73307,2105.346567,2164.768244,2116.874054,2028.474283,1931.866717,1793.191066,1661.254729,1512.999376,1301.589874,1090.722455,804.916851,570.0195645,405.3643364,318.2227021
east_midlands,4,spring,286.6206191,235.3110584,194.5461308,178.7409386,172.1544683,175.0952322,175.5145781,180.4034698,198.1738392,210.6387918,240.1524214,319.7568397,500.8536196,844.0904893,1357.273065,1762.321992,1897.453669,1804.439865,1507.429506,1234.457064,1025.772991,876.1183475,770.4069146,692.3617324,642.6131553,650.2355966,690.7422117,649.2210434,597.2171493,574.4974289,555.9247129,569.5136795,649.0718672,807.7424114,1050.149201,1196.688792,1238.860684,1240.377059,1251.501398,1267.591388,1289.66016,1260.101822,1211.542636,1078.359735,931.0729156,777.5455317,574.2828757,410.4134798
east_midlands,5,spring,190.2161176,154.7693419,134.8299666,118.7558671,117.1272882,114.9276529,115.791271,119.5479196,124.1544983,137.4812324,156.8277642,224.4271675,341.6477846,622.6465532,952.0146115,1204.144505,1254.800673,1159.532763,956.6679139,760.3949132,645.9848438,555.0206029,486.8907097,440.3286286,419.5943354,449.8727591,471.3948422,443.2836337,419.0055178,404.5335686,380.9959268,399.5069742,442.5603761,558.2954034,741.0599853,862.3841855,884.1469202,857.6628224,845.3012764,821.6691217,817.4314538,760.4323537,725.1741303,680.5707249,603.0214318,498.7018495,381.6433325,268.4708125
east_midlands,6,summer,108.805988,82.44203037,62.5565371,55.58857798,52.31997899,48.57028937,49.84882055,49.87522682,51.48300067,61.6408175,65.05419731,85.55305128,154.6356126,257.3846338,392.7869831,527.5570624,584.4773183,533.1208576,463.1628307,399.8923217,348.8881673,308.3973355,283.60276,264.4919301,244.7555152,255.4824754,291.9229777,265.5201986,248.3298634,223.7779104,212.8820552,203.2101518,231.538535,263.7729443,379.0711966,461.3876421,525.2661637,494.0867157,510.1912902,466.5240187,433.2575208,370.3459555,336.4910228,303.346242,278.9576449,237.23121,197.0019578,147.4765543
east_midlands,7,summer,73.74500372,58.03498491,46.11343858,39.99641405,39.1742686,35.63637556,33.9408755,37.03572834,34.75414353,39.83701404,46.80482792,61.03188,101.616784,181.8722176,284.6876722,377.1429571,410.3921809,364.4133467,333.3212052,284.2079416,241.2189618,214.1142695,193.5783006,170.7091005,169.7334587,173.9135435,201.6676433,181.6030087,161.9519395,151.6082127,143.871824,135.7821315,153.0546202,170.4407224,271.1002755,340.0438186,375.4039445,355.2274894,352.5831548,327.9383828,285.6020466,242.9653212,230.019198,193.3162636,185.0941094,155.1324179,134.4090611,102.9862247
east_midlands,8,summer,69.40855,54.20763713,40.66036352,36.2542587,33.41030239,32.75018339,32.4365474,30.90912055,31.42709267,36.47620018,40.0503301,53.8862173,89.31648871,152.6306952,238.6268237,308.6034314,340.3014916,324.2357568,296.7109381,262.5903904,222.5223735,196.2316815,176.4204092,165.5387562,151.2468009,157.4400522,180.7584563,161.8457494,151.4339392,138.8943679,123.5015486,125.1734453,147.6777651,169.1542506,259.0123889,324.2634689,345.4334094,328.3686119,334.5170756,314.4904638,279.2249165,247.1793137,219.9043524,190.228788,161.3829978,135.8477871,119.3944087,93.09063493
