"Time","week before switch to BST","first week after switch to BST","Christmas week","New Year week","mid Jan week","week with maximum Demand","spring week before switch to BST","Easter Week, first week of BST","May Bank Holiday","mid Summer Week","summer Holiday"
Wed 09:30,0.36284,0.22768,0.44312,0.40755,0.71211,0.65149,0.32279,0.13985,0.14523,0.14642,0.15053
Wed 10:00,0.40554,0.29655,0.51146,0.44579,0.72007,0.5669,0.33186,0.20323,0.17125,0.12417,0.18892
Wed 10:30,0.44742,0.36753,0.56913,0.47856,0.79315,0.48346,0.39858,0.22749,0.24475,0.13235,0.17532
Wed 11:00,0.50105,0.46614,0.59022,0.55029,0.61954,0.49522,0.3825,0.21002,0.2662,0.15544,0.17205
Wed 11:30,0.48956,0.52272,0.62668,0.55258,0.55165,0.58412,0.41583,0.246,0.18177,0.13563,0.18631
Wed 12:00,0.49309,0.50495,0.59536,0.57098,0.53367,0.61189,0.42777,0.25228,0.27917,0.14133,0.16692
Wed 12:30,0.45798,0.52582,0.61722,0.59397,0.56284,0.61701,0.44281,0.28076,0.24354,0.13563,0.15967
Wed 13:00,0.40695,0.46675,0.60987,0.6096,0.56303,0.63306,0.52029,0.29582,,0.15546,0.14713
Wed 13:30,0.42256,0.46848,0.53365,0.53427,0.77032,0.88866,0.55384,0.24901,0.21926,0.14736,0.13909
Wed 14:00,0.38194,0.47649,0.51514,0.47882,0.93,1,0.57396,0.26279,0.20137,0.16989,0.19781
Wed 14:30,0.37106,0.41748,0.46861,0.44505,0.84194,0.9451,0.45472,0.22791,0.20078,0.16817,0.19478
Wed 15:00,0.37728,0.42589,0.47745,0.43472,0.76198,0.78846,0.39551,0.21784,0.20392,0.15614,0.17083
Wed 15:30,0.29813,0.42437,0.47271,0.37697,0.67699,0.65511,0.3858,0.16332,0.17999,0.13166,0.15208
Wed 16:00,0.25576,0.36389,0.49978,0.35241,0.63589,0.59864,0.46374,0.14915,0.14571,0.13877,0.13992
Wed 16:30,0.21454,0.29946,0.46077,0.33206,0.64994,0.56449,0.4172,0.13448,0.15704,0.11543,0.11476
Wed 17:00,0.18175,0.26076,0.36542,0.32234,0.51688,0.51577,0.28816,0.13206,0.12596,0.10108,0.093839
Wed 17:30,0.26364,0.29153,0.34641,0.35972,0.52222,0.53503,0.33882,0.37559,0.12156,0.10101,0.097413
Wed 18:00,0.21874,0.26701,0.34099,0.33512,0.5193,0.43021,0.33748,0.35252,0.087486,0.10321,0.083112
Wed 18:30,0.20882,0.61342,0.33381,0.34914,0.39427,0.42453,0.67113,0.36876,0.081936,0.073547,0.077637
Wed 19:00,0.19861,0.63069,0.35672,0.38849,0.45811,0.48353,0.72465,0.38839,0.078338,0.080303,0.074697
Wed 19:30,0.21559,0.55714,0.37079,0.38605,0.50945,0.54647,0.7101,0.37616,0.11231,0.082492,0.076529
Wed 20:00,0.20695,0.54989,0.3572,0.38966,0.52564,0.53608,0.71816,0.37377,0.34859,0.078775,0.077407
Wed 20:30,0.18608,0.55306,0.3325,0.38881,0.55764,0.36609,0.70364,0.33568,0.33954,0.094053,0.075427
Wed 21:00,0.16923,0.53545,0.63878,0.70379,0.47885,0.40786,0.69827,0.29408,0.32856,0.087204,0.081122
